FID *,Name,Region,State,MAP_TYPE,MAP_LEVEL,PROJECT,MAP_UNIT_S,MAP_UNIT_N,SUBSECTION,ecological.section,ecological.province
710,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,231Ea,South Central Arkansas,1112,231E,231
711,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Bj,Southern Loam Hills,1169,232B,232
712,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,231Hh,Southern Loessial Plains,1170,231H,231
713,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Ff,Red River Alluvial Plain,1173,232F,232
714,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,231Hi,Delmarva Upland,1175,231H,231
715,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Ba,Fragipan Loam Hills,1177,232B,232
716,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,234Ec,Bastrop Ridge,1134,234E,234
717,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,231Ek,Southwestern Arkansas Blackland Prairies,1151,231E,231
718,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,231Ej,South Central Arkansas Flatwoods,1152,231E,231
719,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,234Ah,Macon Ridge,1153,234A,234
720,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Ka,Bayfield Sand Plains,250,212K,212
721,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Nd,Toimi Uplands,190,212N,212
722,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Ld,Toimi Uplands,195,212L,212
723,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Nc,Pine Moraine and Outwash Plains,202,212N,212
724,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,251Be,Southern Des Moines Lobe,515,251B,251
725,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Mb,Agassiz Lowlands,80,212M,212
726,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,251Aa,Lake Agassiz Plain,93,251A,251
727,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,222Na,Aspen Parklands,100,222N,222
728,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212La,Border Lakes,126,212L,212
729,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Ma,Littlefork-Vermillion Uplands,128,212M,212
730,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Lb,North Shore Highlands,153,212L,212
731,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Na,Chippewa Plains,159,212N,212
732,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,222Ma,Alexandria Moraine-Hardwood Hills,170,222M,222
733,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Nb,St. Louis Moraines,171,212N,212
734,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Le,Laurentian Highlands,175,212L,212
735,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Lc,Laurentian Highlands,176,212L,212
736,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,251Ba,Upper Minnesota River-Des Moines Lobe,278,251B,251
737,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Kb,Mille Lacs Uplands,257,212K,212
738,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Ya,Superior-Ashland Clay Plain,259,212Y,212
739,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,222Mc,Anoka Sand Plain,293,222M,222
740,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,251Bb,Outer Coteau des Prairies,309,251B,251
741,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,222Lc,Mississippi-Wisconsin River Ravines,426,222L,222
742,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,222Me,Oak Savannah Till and Loess Plains,427,222M,222
743,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,222Lf,Western Paleozoic Plateau,438,222L,222
744,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,212Qa,St. Croix Moraine,346,212Q,212
745,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,251Bd,Northwest Iowa Plains,360,251B,251
746,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,222Mb,Big Woods Moraines,379,222M,222
747,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,222Md,Rosemont Baldwin Plains and Moraines,381,222M,222
748,Minnesota,West North Central,MN,ECUN,SUBS,ECOMAP07,Water,Water,816,Wate,Wat
749,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Cd,Claypan Till Plain,785,251C,251
750,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Cl,Chariton River Hills,730,251C,251
751,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ag,White River Hills,1027,223A,223
752,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,234Db,Crowley's Ridge,1032,234D,234
753,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Aa,St. Francois Knobs and Basins,965,223A,223
754,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,234Da,North Mississippi River Alluvial Plain,1014,234D,234
755,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,234Dc,White and Black Rivers Alluvial Plain,1018,234D,234
756,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Aj,Inner Ozark Border,910,223A,223
757,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Cg,Missouri River Alluvial Plain,546,251C,251
758,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Ca,Deep Loess Hills,573,251C,251
759,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Ce,West Mississippi River Hills,819,251C,251
760,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Cb,Loess Hills,862,251C,251
761,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Cf,Mississippi River and Illinois Alluvial Plains,635,251C,251
762,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Eb,Cherokee Plains,930,251E,251
763,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ab,Central Plateau,931,223A,223
764,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ac,Osage River Hills,935,223A,223
765,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ad,Gasconade River Hills,937,223A,223
766,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ae,Meramac River Hills,938,223A,223
767,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Am,Springfield Plain,950,223A,223
768,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Al,Black River Ozark Border,982,223A,223
769,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Af,Current River Hills,985,223A,223
770,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Aq,Illinois Ozarks,991,223A,223
771,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ah,Elk River Hills,1037,223A,223
772,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223An,Springfield Plateau,1041,223A,223
773,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,234Do,St. Francis River Alluvial Plain,1042,234D,234
774,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Cm,Wyaconda River Dissected Till Plains,743,251C,251
775,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Cc,Central Dissected Till and Loess Plain,688,251C,251
776,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,251Ea,Scarped Osage Plains,877,251E,251
777,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ap,Missouri River Alluvial Plain,879,223A,223
778,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ai,Prairie Ozark Border,896,223A,223
779,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ao,Mississippi River Alluvial Plain,900,223A,223
780,Missouri,West North Central,MO,ECUN,SUBS,ECOMAP07,223Ak,Outer Ozark Border,902,223A,223
781,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Ak,West Yellowstone-Madison Valley,238,M331A,M331
782,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,342Ad,Bighorn Basin,244,342A,342
783,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331As,Island Park,247,M331A,M331
784,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Ab,Pitchstone Plateau,251,M331A,M331
785,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Nc,Central Montana Broad Valleys,191,331N,331
786,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Enn,Gravelly-Snowcrest Mountains,192,M332En,M332E
787,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Ep,Blacktail Mountains,194,M332E,M332
788,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Aa,Absaroka-Gallatin Mountains,196,M331A,M331
789,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Al,Central Montana Broad Valleys,197,M331A,M331
790,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Ar,Beartooth Front,203,M331A,M331
791,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Ap,Madison Mountains,206,M331A,M331
792,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Er,Southern Beaverhead Mountains,209,M332E,M332
793,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Ah,Beartooth Mountains,212,M331A,M331
794,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Gf,Southern Powder River Basin-Scoria Hills,225,331G,331
795,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Ag,North Absaroka Range,231,M331A,M331
796,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Gd,Wolf Mountains,235,331G,331
797,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Ba,Bighorn Mountains - Sedimentary,237,M331B,M331
798,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Ba,Purcell-North Cabinet Mountains,25,M333B,M333
799,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Bb,Salish Mountains,30,M333B,M333
800,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Bc,Flathead River Valley,33,M333B,M333
801,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Cb,Canadian Rockies-Whitefish-Swan Mountains,34,M333C,M333
802,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Cc,Mission-Swan Valley-Flathead River,35,M333C,M333
803,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Ca,Livingston Mountains,36,M333C,M333
804,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Cf,Northern Rocky Mountain Front,38,M333C,M333
805,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Da,Rocky Mountain Front Foothills,44,331D,331
806,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Dh,Montana Glaciated Plains,46,331D,331
807,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Da,Coeur d'Alene Mountains,48,M333D,M333
808,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Db,Montana Isolated Mountain Ranges,49,331D,331
809,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Dc,Clark Fork Valley and Mountains,51,M333D,M333
810,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Cg,Middle Rocky Mountain Front,52,M333C,M333
811,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331La,Glaciated Northern Grasslands,53,331L,331
812,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Ce,Flathead Thrust Faulted Mountains,56,M333C,M333
813,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Db,St. Joe-Bitterroot Mountains,58,M333D,M333
814,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333Ch,Southern Rocky Mountain Front,62,M333C,M333
815,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Ea,Missouri Coteau,63,331E,331
816,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Ka,Igneous-Core Mountains Non-Calcareous Foothills,64,331K,331
817,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Bb,Bitterroot-Frenchtown Valleys,70,M332B,M332
818,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Bl,Clark Fork Valley and Mountains,71,M332B,M332
819,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M333De,Clearwater Mountains and Breaks,73,M333D,M333
820,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Bp,Avon-Nevada Valleys,74,M332B,M332
821,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Bh,Whitefish-Swan Mountains,76,M332B,M332
822,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Kb,Missouri Breaks Woodland-Scrubland,77,331K,331
823,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Ki,Western Igneous-Core Mountains Non-Calcareous Foothills,82,331K,331
824,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Kd,North Central Grassland,83,331K,331
825,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Bg,Garnet-Sapphire Mountains,84,M332B,M332
826,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Kj,Unglaciated Montana High Plains,85,331K,331
827,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332De,Big Belt Foothills,88,M332D,M332
828,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Bf,Continental Divide Foothills,89,M332B,M332
829,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Df,Continental Divide Foothills,90,M332D,M332
830,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Kh,Judith Basin Grassland,94,331K,331
831,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Ba,Bitterroot Glaciated Canyons,95,M332B,M332
832,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Mf,River Breaks,96,331M,331
833,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Db,Little Belt-Snown-Judith Mountains,102,M332D,M332
834,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Be,Flint Creek-Upper Willow Creek Basins,106,M332B,M332
835,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Dk,Central Montana Broad Valleys,107,M332D,M332
836,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Dh,Big Belt Mountains,111,M332D,M332
837,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Na,Snowy Foothills,113,331N,331
838,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Kf,Central Grassland,114,331K,331
839,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Me,Missouri Plateau and River Breaks,116,331M,331
840,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Bd,Anaconda-Flint Creek Mountains,117,M332B,M332
841,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Ab,Central Idaho Glaciated Mountains,118,M332A,M332
842,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Dj,Boulder-Elkhorn Mountains,119,M332D,M332
843,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Bj,Deerlodge Valley,120,M332B,M332
844,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Ke,Sagebrush Steppe,122,331K,331
845,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Bc,South Anaconda-Bitterroot Mountains,125,M332B,M332
846,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Mh,Western Missouri Plateau,131,331M,331
847,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Eg,Anaconda Mountains,134,M332E,M332
848,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Nb,Unglaciated Montana High Plains,135,331N,331
849,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Ebb,East Pioneer Mountains,140,M332Eb,M332E
850,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Ej,Southwest Montana Intermontane Basins and Valleys,141,M332E,M332
851,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Dc,Crazy Mountains,142,M332D,M332
852,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Eee,West Pioneer Mountains,145,M332Ee,M332E
853,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Ee,Biterroot Range,146,M332E,M332
854,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Ap,Copper Mountain-Point of Rock,147,M332A,M332
855,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Dp,Bridger Mountains and Foothills,148,M332D,M332
856,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Ehh,East Bitterroot Range-Big Hole Divide,150,M332Eh,M332E
857,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Mi,Sagebrush Steppe,157,331M,331
858,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M332Ekk,Ruby-Tobacco Root Mountains,161,M332Ek,M332E
859,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Am,Gallatin Foothills-Spanish Peaks,182,M331A,M331
860,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Gi,Snowy Foothills,189,331G,331
861,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,M331Ae,Falls River,261,M331A,M331
862,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Gg,Powder River Breaks,294,331G,331
863,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Fb,Shale Scablands,310,331F,331
864,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Ge,Powder River Basin,314,331G,331
865,Montana,Mountain,MT,ECUN,SUBS,ECOMAP07,331Ff,Dense Clay Prairie,318,331F,331
866,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Df,Southern River Breaks,491,332D,332
867,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Da,Ponca Plains,497,332D,332
868,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Fk,High Plains,502,331F,331
869,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Fj,Pine Ridge Escarpment,477,331F,331
870,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Cc,Central Ogallala High Plains,749,331C,331
871,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Cd,South Ogallala High Plains,762,331C,331
872,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Ea,Smokey Hills,731,332E,332
873,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Dg,Dakota-Nebraska Eroded Tablelands,526,332D,332
874,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Fn,West Nebraska Sandy and Silty Tablelands,516,331F,331
875,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Fb,Shale Scablands,310,331F,331
876,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Ce,Western Loess and Till Plains,587,332C,332
877,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,251Bf,Yankton Hills and Valleys,458,251B,251
878,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Ft,Keya Paha Tablelands,469,331F,331
879,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Hf,Denver-Julesburg Basin,612,331H,331
880,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Cf,Central Platte Valley,621,332C,332
881,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Fr,Goshen Hole,542,331F,331
882,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Cd,West Central Lakes,544,332C,332
883,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,251Cg,Missouri River Alluvial Plain,546,251C,251
884,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,251Ha,Yankton Hills and Valleys,557,251H,251
885,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Cb,Sand Hills Borders,558,332C,332
886,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Cc,Central Nebraska Loess Hills,630,332C,332
887,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Ha,Southern Denver-Julesburg Basin,637,331H,331
888,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Ce,Western Sandsage-Mixed Prairie,700,331C,331
889,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332En,Eastern Sand Sage-Mixed Prairie,701,332E,332
890,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Cf,South Arikaree High Plains,712,331C,331
891,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,251Hb,Lower Platte Valley,668,251H,251
892,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Hc,Eastern Central High Plains,678,331H,331
893,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,331Ca,Nebraska Sandhills,682,331C,331
894,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,332Ca,Northern and Western Sand Hills,686,332C,332
895,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,251Hd,Pawnee City-Seneca Rolling Hills,689,251H,251
896,Nebraska,West North Central,NE,ECUN,SUBS,ECOMAP07,251Hc,York Plains,692,251H,251
897,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,315Ha,Central Rio Grande Intermontane,1023,315H,315
898,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,315Bc,Canadian River Canyon and Hills Woodland,1029,315B,315
899,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Db,Painted Desert Steppe Grassland,960,313D,313
900,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Bd,Manzano Mountains Woodland,1007,M313B,M313
901,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,315Bd,Caprock High Plains Grassland,1008,315B,315
902,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,315Hb,North Central Rio Grande Intermontane,1019,315H,315
903,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Bp,San Mateo Mountains Coniferous Forest,1022,313B,313
904,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Ba,Chuska Mountains Woodland,912,313B,313
905,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M331Gk,Brazos Uplift,913,M331G,M331
906,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M331Fg,Sangre de Cristo Mountains Woodland,945,M331F,M331
907,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M331Fa,Sangre de Cristo,832,M331F,M331
908,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Ab,Canyon of Ancients-Blanding Basin,840,313A,313
909,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,331Bd,Sandy-Smooth High Plains,954,331B,331
910,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,331Bc,Tablelands-Red Hills,955,331B,331
911,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M331Fh,Sangre de Cristo Mountains Coniferous Forest,959,M331F,M331
912,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M331Gm,Jemez and San Pedro Mountains Coniferous Forest,970,M331G,M331
913,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,331Jd,Southern San Luis Grasslands,979,331J,331
914,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Bo,San Mateo Mountain Woodlands,997,313B,313
915,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,315Ad,Chupadera High Plains Grassland,1036,315A,315
916,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Bs,San Agustin Plains Grassland,1043,313B,313
917,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Ah,White Mountains Coniferous Forest,1044,M313A,M313
918,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Ag,White Mountains Woodland,1052,M313A,M313
919,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,315Ba,Querecho Plains Grassland,1055,315B,315
920,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Ad,Mogollon Mountains Woodland,1058,M313A,M313
921,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Am,San Francisco Peaks Coniferous Forest,1061,M313A,M313
922,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Bf,Sacramento Mountains Woodland,1064,M313B,M313
923,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Bb,San Andres Mountains Woodland,1065,M313B,M313
924,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,321Ag,Animas Valley Plains Desert Grass-Shrubland,1067,321A,321
925,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,321Ae,Sand Hills,1068,321A,321
926,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Ac,Burro Mountains Oak-Juniper Woodland,1096,M313A,M313
927,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Bg,Sacramento Mountains Coniferous Forest,1104,M313B,M313
928,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,321Ad,Jornada Plains Desert Grass-Shrubland,1071,321A,321
929,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Ae,Mogollon Mountains Coniferous Forest,1075,M313A,M313
930,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,315Ab,Pecos Valley Desert Shrubland,1078,315A,315
931,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,315Aa,Artesia Plains Desert Grass-Shrubland,1111,315A,315
932,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,321Aj,Sulphur Springs Plains Desert Grass-Shrubland,1114,321A,321
933,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,321Af,San Simon Valley Desert Shrubland,1088,321A,321
934,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Ab,Mangas High Plains Grassland,1090,M313A,M313
935,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Bc,Chuska Valley Cold Desert Shrubland,880,313B,313
936,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Aa,San Juan Basin-Mesa Verde,884,313A,313
937,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Be,San Juan Basin North,885,313B,313
938,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,331Jc,Mogotes,887,331J,331
939,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,313Bd,Chaco Basin High Desert Shrubland,901,313B,313
940,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,M313Ba,Guadalupe Mountains Woodland,1137,M313B,M313
941,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,321Ac,Trans-Pecos Desert Shrubland,1138,321A,321
942,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,315Bb,Morrison High Plains Grassland,1147,315B,315
943,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,321Ah,Animas Mountains Oak-Juniper Woodland,1149,321A,321
944,New Mexico,Mountain,NM,ECUN,SUBS,ECOMAP07,331Jb,San Luis Hills,918,331J,331
